"table_id","codigo","escuela","region","distrito","municipio_escolar","direccio_fisica","direccion_municipio","direccio_estado","direccion_zipcode","geolocalizacion","telefono","fax","director","zona","estatus_actual","nivel_original","grados_original","grados_posterior","matricula_total","grado_infant","grado_toddler","grado_pk","grado_pke","grado_pkm","grado_k","grado_1","grado_2","grado_3","grado_4","grado_5","grado_6","grado_sge","grado_7","grado_8","grado_9","grado_sgi","grado_10","grado_11","grado_12","grado_sgs","espa_ol_proficiente_avanzado","espa_ol_pre_b_sico","espa_ol_b_sico","espa_ol_proficiente","espa_ol_avanzado","matem_ticas_proficiente_avanzado","matem_ticas_pre_b_sico","matem_ticas_b_sico","matem_ticas_proficiente","matem_ticas_avanzado","ingl_s_proficiente_avanzado","ingl_s_pre_b_sico","ingl_s_b_sico","ingl_s_proficiente","ingl_s_avanzado","bajo_nivel_pobreza"
"1","35295","20 DE SEPTIEMBRE DE 1988","HUMACAO","FAJARDO","VIEQUES","CARR ESTATAL 200 ESQ CARR ESTATAL 993","VIEQUES","PR","00765-1554","(18.14372, -65.44178)","741-3091","876-2804","MYRIAM R RODRIGUEZ RODRIGUEZ","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","218",,,,,,,,,,,,"74",,"71","61",,"12",,,,,"21.56","40.83","37.61","14.68","6.88","1.38","45.87","52.75","1.38","0","19.27","54.59","26.15","14.22","5.05","86.24"
"759","57323","MIGUEL GONZALEZ BAUZA","PONCE","YAUCO","PEÑUELAS","BO QUEBRADA CALLE 1 SECT CARACOLES","PENUELAS","PR","00624-0000","(18.05554, -66.71168)","836-2597","836-2597","GLORIA GARCIA","RURAL","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","280",,,,"5",,"32","37","49","40","33","40","37","7",,,,,,,,,"30.72","16.99","52.29","15.69","15.03","29.41","17.65","52.94","16.99","12.42","17.88","41.72","40.40","9.27","8.61","86.69"
"760","23218","MIGUEL MELENDEZ MUNOZ","CAGUAS","CIDRA","CAYEY","URB REPARTO MONTEBANCO CALLE D","CAYEY","PR","00737-0000","(18.1174, -66.14892)","738-2058","263-3044","WANDA I.CARTAGENA ORTIZ","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","278",,,,,,"30","45","44","49","54","48",,"8",,,,,,,,,"61.19","7.46","31.34","28.36","32.84","50.25","10.45","39.30","21.89","28.36","59.70","9.45","30.85","35.32","24.38","65.31"
"761","23531","MIGUEL MELENDEZ MUNOZ","CAGUAS","CIDRA","CAYEY","AVE ANTONIO R BARCELO FRENTE CUC","CAYEY","PR","00737-0000","(18.116, -66.16099)","738-3078","738-9065","PEDRO SANCHEZ","URBANA","SI","SUPERIOR","12-Oct","12-Oct","762",,,,,,,,,,,,,,,,"198",,"212","179","173",,"46.20","10.53","43.27","22.22","23.98","30.06","10.40","59.54","17.34","12.72","49.70","15.98","34.32","26.04","23.67","65.71"
"762","70276","MIGUEL MELENDEZ MUNOZ","BAYAMON","BAYAMON","BAYAMON II","CARR 840 KM 1 HM 1 SECTOR LA ALDEA","BAYAMON","PR","00960-3169","(18.36999, -66.17751)","799-7300","799-6500","MARIA JUDITH VAZQUEZ FONTANEZ","RURAL","SI","SUPERIOR","12-Oct","12-Oct","577",,,,,,,,,,,,,,,,"146",,"156","148","127",,"52.70","13.51","33.78","8.11","44.59","35.14","19.59","45.27","16.89","18.24","45.95","27.03","27.03","22.30","23.65","63.10"
"763","62398","MIGUEL SUCH","SAN JUAN","SAN JUAN II","SAN JUAN IV","AVE BARBOSA ESQ AVE PINERO","SAN JUAN","PR","-924","(18.40972, -66.04326)","751-3780","767-2625","LUZ CELESTE ABREU","URBANA","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","1148",,,,,,,,,,,,,,,,"230",,"281","315","253","69","36.39","11.90","51.70","24.83","11.56","0.34","29.69","69.97","0.34","0","31.40","36.52","32.08","19.11","12.29","85.34"
"765","46987","MONSERRATE LEON IRIZARRY","MAYAGUEZ","CABO ROJO","CABO ROJO","CARR 101 KM 18 HM 2","CABO ROJO","PR","00622-1235","(18.02742, -67.16392)","254-2288","254-2233","LEROY ALICEA CABASSA","RURAL","SI","SUPERIOR","12-Oct","12-Oct","584",,,,,,,,,,,,,,,,"244",,"110","118","112",,"57.80","4.59","37.61","33.03","24.77","11.01","21.10","67.89","8.26","2.75","52.29","12.84","34.86","25.69","26.61","73.91"
"767","23135","MYRNA M FUENTES","CAGUAS","GURABO","CAGUAS II","CALLE 33 BONNEVILLE HEIGTS","CAGUAS","PR","7264952","(18.22953, -66.04733)","744-2231","704-0235","IRMA RODRIGUEZ SOTO","URBANA","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","239",,,"13",,,"39","41","30","36","29","29",,"22",,,,,,,,,"66.02","2.91","31.07","28.16","37.86","70.87","0.97","28.16","42.72","28.16","41.18","16.67","42.16","28.43","12.75","75.73"
"769","17871","NELIDA MELENDEZ MELENDEZ","BAYAMON","OROCOVIS","OROCOVIS","CARR 155 INT AVE LUIS M MARIN","OROCOVIS","PO BOX 1605","7200000","(18.22935, -66.39222)","867-2840","867-7448","MARIA E ALVARADO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 8, EEE, EEI","499",,,"16",,,"50","54","42","45","54","57","58","15","49","59",,,,,,,"84.71","0.64","14.65","27.39","57.32","87.26","0.64","12.10","33.76","53.50","78.98","2.55","18.47","34.39","44.59","80.43"
"770","65946","NEMESIO R CANALES I","SAN JUAN","SAN JUAN I","SAN JUAN II","RES NEMESIO CANALES","SAN JUAN","PR","00936-0000","(18.422, -66.07912)","782-6539","782-6539","DORIS M. TRAVERSO VAZQUEZ","URBANA","SI","ELEMENTAL","K - 3 , EEE","K - 3 , EEE","230",,,,,,"44","43","44","44","39",,,"15",,"1",,,,,,,"18.98","36.57","44.44","10.65","8.33","19.35","39.17","41.47","8.76","10.60","12.44","58.06","29.49","11.98","0.46","99.54"
"772","20594","NICOLAS AGUAYO ALDEA","CAGUAS","GURABO","CAGUAS I","13 CALLE RAFAEL CORDERO URB. BORINQUEN","CAGUAS","PR","00726-0000","(18.23249, -66.03105)","743-5065","743-3447","ANA JOCELYN REYES SANTINI","URBANA","SI","INTERMEDIO","9-Jul","K - 8, EEI","422",,,,,,"49","46","63","35","49","41","34",,"29","54",,"22",,,,,"41.04","12.69","46.27","23.88","17.16","7.46","24.63","67.91","3.73","3.73","20.30","34.59","45.11","7.52","12.78","90.42"
"773","71381","NICOLAS SEVILLA","BAYAMON","TOA BAJA","TOA ALTA","URB JARD DE TOA ALTA CALLE 1","TOA ALTA","PR","00953-0000","(18.39144, -66.24862)","870-2570","870-8192","WANDA I. RIVERA RODRIGUEZ","URBANA","SI","SUPERIOR","12-Oct","12-Oct","713",,,,,,,,,,,,,,,,"177",,"193","165","170","8","39.60","19.46","40.94","20.81","18.79","4.73","25.68","69.59","2.70","2.03","37.16","34.46","28.38","12.84","24.32","78.25"
"774","56077","NORMA I TORRES COLON","PONCE","SANTA ISABEL","VILLALBA","CARR 150 KM 5 HACIA COAMO","VILLALBA","PR","00766-0000","(18.12707, -66.48902)","847-9090","847-9090","PEDRO M. GUEVARA","URBANA","SI","INTERMEDIO","9-Jul","K - 8","226",,,,,,"15","15","26","19","22","12","32",,"52","33",,,,,,,"18.80","36.75","44.44","15.38","3.42","0.86","49.14","50","0.86","0","6.90","64.66","28.45","5.17","1.72","82.81"
"776","17418","NUEVA  JUAN S MARCHAND","ARECIBO","MANATI","MANATI","CARR 685 SECT LOS RABANOS BO BOQUILLAS","MANATI","PR","6740506","(18.46071, -66.48679)","854-4541","854-6080","PROVIDENCIA MARTIR","RURAL","SI","INTERMEDIO","9-Jul","9-Jul","313",,,,,,,,,,,,"67",,"136","110",,,,,,,"35.12","14.88","50","19.42","15.70","16.05","18.11","65.84","5.35","10.70","36.89","32.79","30.33","24.18","12.70","86.26"
"777","13912","NUEVA BRIGIDA ALVAREZ RODRIGUEZ","ARECIBO","VEGA ALTA","VEGA BAJA","CALLE BETANCES NUM.75","VEGA BAJA","PR","00694-0000","(18.445451, -66.389915)",,"858-9645","HEDRIAN AYUSO PONCE","URBANA","SI","SECUNDARIO","12-Jul","12-Jul","452",,,,,,,,,,,,,,"74","100","75",,"73","85","45",,"98.03","0","1.97","21.65","76.38","80.71","0","19.29","27.95","52.76","93.70","0.79","5.51","18.50","75.20","32.74"
"778","17657","NUEVA CEFERINA CORDERO","MAYAGUEZ","SAN SEBASTIAN","ISABELA","CALLE EMILIO GONZALEZ INTERIOR # 217","ISABELA","PR","00662-0000","(18.50459, -67.02416)","872-0464","872-0460","YOLANDA BARRETO BOSQUES","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 5, PKEE, EEE","467",,,,,,"66","74","69","72","70","67",,"49",,,,,,,,,"22.81","36.84","40.35","10.53","12.28","35.09","26.32","38.60","21.05","14.04","19.30","40.35","40.35","12.28","7.02","74.20"
"779","79087","NUEVA ELEM BO QUEBRADA NEGRITO","SAN JUAN","GUAYNABO","TRUJILLO ALTO","CARR #181 KM 10 HM 7 BO QUEBRADA NEGRITO","TRUJILLO ALTO","PR","9770000","(18.33055, -65.98879)","760-5755","292-1140","JOSE LUIS SANCHEZ FIGUEROA","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6, EEE","451",,,,,,"65","66","71","72","74","84",,"19",,,,,,,,,"45.20","19.21","35.59","24.86","20.34","41.81","21.47","36.72","17.51","24.29","32.77","18.64","48.59","21.47","11.30","81.84"
"780","78253","NUEVA ELEMENTAL URBANA DE GUAYNABO","SAN JUAN","GUAYNABO","GUAYNABO","CARR 169 KM 6.2 BO FRAILES","GUAYNABO","PR","00970-0000","(18.36777778, -66.77472222)","720-2195","720-3351","GLADYS ERAZO","URBANA","SI","ELEMENTAL","PK - 6 EEE","K - 5, EEE, PKEE","650",,,,"6","21","70","94","93","92","86","113",,"75",,,,,,,,,"41.47","16.13","42.40","24.88","16.59","43.32","14.29","42.40","22.58","20.74","28.11","32.26","39.63","21.66","6.45","85.85"
"781","76257","NUEVA ESCUELA SU ANTONIO RIVERA","BAYAMON","BAYAMON","BAYAMON III","CARR 167 RAMAL 816 KM 6 BO NUEVO","BAYAMON","PR","9565829","(18.27695, -66.19346)","730-6588","730-6522","EVELYN IRIZARRY DIAZ","RURAL","SI","SEGUNDA UNIDAD","K - 9 , EEE - EEI","K - 9 , EEE - EEI","208",,,,,,"22","29","19","20","14","31","20","4","27","20",,"2",,,,,"47.41","15.56","37.04","31.85","15.56","23.88","21.64","54.48","15.67","8.21","27.61","33.58","38.81","16.42","11.19","86.36"
"782","18184","NUEVA INTERMEDIA","ARECIBO","MANATI","BARCELONETA","CARR 140 BO LLANADAS","BARCELONETA","PR","6170000","(18.4454, -66.55698)","846-2460","846-2415","CARMEN MALDONADO","URBANA","SI","INTERMEDIO","7 - 9 , EEI","6 - 9, EEI","616",,,,,,,,,,,,"158",,"149","155","144","10",,,,,"38.89","20","41.11","22.59","16.30","7.04","26.30","66.67","5.19","1.85","41.85","28.52","29.63","26.67","15.19","82.76"
"783","77669","NUEVA SUP CON DEPARTAMENTO VOCACIONAL","BAYAMON","COROZAL","COROZAL",,,,,,,,,,"SI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.96"
"784","36335","NUEVA SUPERIOR DE LOIZA","HUMACAO","CANOVANAS","LOIZA","CARR 187 KM 5 HM 6 BO MEDIANIA",,,,"(18.4261, -65.84931)","256-1075","256-1075","DORIS Y. VILLARAN OSORIO","URBANA","SI","SUPERIOR","12-Oct","12-Oct","561",,,,,,,,,,,,,,,,"117",,"173","130","133","8","31.25","13.28","55.47","25","6.25","2.38","26.19","71.43","2.38","0","17.32","48.03","34.65","11.81","5.51","77.61"
"785","18291","NUEVA URBANA DE CIALES","ARECIBO","MANATI","CIALES","EXT CORCHADO SALIDA BO PUEBLO","CIALES",,,"(18.33875, -66.46743)",,,"AMELIA I. PIETRI REYES","URBANA","SI","SEGUNDA UNIDAD","PK-9","K - 8, EEE,EEI","706",,,"9",,,"45","54","46","60","58","75","82","17","136","119",,"5",,,,,"26.76","23.87","49.37","18.81","7.96","13.77","27.17","59.06","8.33","5.43","20.47","40.94","38.59","17.03","3.44","85.42"
"787","42259","OLGA MAS RAMIREZ","MAYAGUEZ","MAYAGUEZ","MAYAGUEZ","CARR 348 KM.5.HM.2 BO. MALEZAS","MAYAGUEZ","PR","00681-0000","(18.17071, -67.11)","833-8283","833-8283","DIANE BERRIOS GONZALEZ","RURAL","SI","ELEMENTAL","K - 6","K - 6","251",,,"9",,,"36","32","36","34","41","32","31",,,,,,,,,,"39.57","12.95","47.48","24.46","15.11","41.73","15.11","43.17","25.90","15.83","23.74","27.34","48.92","17.27","6.47","82.02"
"788","70805","ONOFRE CARBALLEIRA","BAYAMON","TOA BAJA","CATANO","AVE LAS NEREIDAS","CATANO","PR","00963-0000","(18.44228, -66.12877)","788-8975","788-3911","NATALIA ECHEVARRIA JIMENEZ","URBANA","SI","INTERMEDIO","9-Jul","9-Jul","241",,,,,,,,,,,,"58",,"95","88",,,,,,,"15.65","36.52","47.83","11.74","3.91","5.65","43.48","50.87","2.17","3.48","13.48","53.48","33.04","10.43","3.04","89.63"
"789","24950","OSCAR HERNANDEZ GUEVARA","CAGUAS","GUAYAMA","GUAYAMA","BDA BLONDET CALLE  D","GUAYAMA","PR","00785-0000","(17.97367, -66.12427)","864-8242","864-8242","IRMA M. RIVERA GARCIA","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","253",,,,"5",,"45","48","34","31","27","57",,"6",,,,,,,,,"30.89","23.58","45.53","21.14","9.76","31.71","17.07","51.22","21.14","10.57","21.14","28.46","50.41","14.63","6.50","84.12"
"792","70201","PABLO CASALS","BAYAMON","BAYAMON","BAYAMON III","URB BAYAMON GARDENS CALLE D","BAYAMON","PR","00960-7071","(18.37854, -66.18717)","799-0820","797-1215","ANA VERONICA CONCEPCION MIRANDA","URBANA","SI","SECUNDARIO","12-Jul","12-Jul","540",,,,,,,,,,,,"62",,"64","90","97",,"84","69","74",,"69.20","1.45","29.35","33.33","35.87","7.61","20.29","72.10","6.88","0.72","62.68","14.86","22.46","30.07","32.61","48.23"
"793","20560","PABLO COLON BERDECIA","CAGUAS","BARRANQUITAS","BARRANQUITAS","CALLE BARCELO FINAL SECTOR NUEVO","BARRANQUITAS","PR","00794-0000","(18.1861, -66.303)","857-2897","857-8591","ROSA D. CAEZ VELAZQUEZ","URBANA","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","648",,,,,,,,,,,,,,,,"131",,"172","173","142","30","47.83","6.21","45.96","26.71","21.12","29.19","8.07","62.73","13.66","15.53","47.83","12.42","39.75","20.50","27.33","77.18"
"795","62463","PACHIN MARIN","SAN JUAN","SAN JUAN II","SAN JUAN IV","CALLE PARIS, ESQ. PACHIN MARIN FLORAL PARK","SAN JUAN","PR","00917-3632","(18.42225, -66.05184)","753-9304","764-2443","LEONCIO MARTE PERALTA","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","315",,,,,,,,,,,,"84",,"97","99",,"35",,,,,"17.78","36.30","45.93","12.22","5.56","3.35","34.57","62.08","3.35","0","13.48","59.55","26.97","11.61","1.87","87.58"
"798","61747","PADRE RUFO (BILINGUE)","SAN JUAN","SAN JUAN I","SAN JUAN I","236 CALLE DEL PARQUE PDA 23","SAN JUAN","PR","00912-0000","(18.44663, -66.06507)","723-4930","722-8545","VACANTE","URBANA","SI","SECUNDARIO","12-Jul","12-Jul","355",,,,,,,,,,,,"50",,"46","47","46",,"49","72","45",,"71.43","5.71","22.86","29.05","42.38","12.38","14.76","72.86","10.48","1.90","83.81","2.86","13.33","28.10","55.71","50.71"
"799","70219","PAPA JUAN XXIII","BAYAMON","BAYAMON","BAYAMON III","URB VILLA RICA CALLE ISLA NENA AO-10","BAYAMON","PR","00956-0000","(18.39419, -66.17469)","786-0865","269-3085","CARMEN BERRIOS RIVERA","URBANA","SI","SUPERIOR","12-Oct","12-Oct","370",,,,,,,,,,,,,,,,"80",,"100","89","101",,"24.71","10.59","64.71","18.82","5.88","0","31.76","68.24","0","0","35.29","30.59","34.12","17.65","17.65","71.47"
"800","77552","PAPA JUAN XXIII","BAYAMON","BAYAMON","BAYAMON III","ISLA NENA 10 ESQ AO VILLA RICA","BAYAMON","PR","9560000","(18.39451, -66.17412)","798-4611","785-3449","STEPHANIE ABED","URBANA","SI","SECUNDARIO","7 - 12 , EEI,EES","7 - 12 , EEI,EES","491",,,,,,,,,,,,"52",,"42","99","86",,"62","83","67",,"73.96","1.13","24.91","33.58","40.38","25.66","5.66","68.68","18.87","6.79","84.47","3.03","12.50","33.71","50.76","43.76"
"805","60400","PASCASIO P SANCERRIT","SAN JUAN","CAROLINA","CAROLINA II","CALLE GRANADA, URB. VISTAMAR","CAROLINA","PR","00983-1984","(18.42466, -65.98505)","769-4260","769-4260","PROFA. MARITZA GONZALEZ PAZ","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 5","425",,,,,,"62","57","66","67","69","84",,"20",,,,,,,,,"25.33","24.34","50.33","17.43","7.89","27.21","27.54","45.25","20","7.21","15.08","42.95","41.97","11.15","3.93","89.38"
"807","47126","PATRIA LATORRE","MAYAGUEZ","SAN SEBASTIAN","SAN SEBASTIAN","CARR.111KM.23HM.2BO. PIEDRAS BLANCA","SAN SEBASTIAN","PR","00685-0000","(18.33305, -66.98298)","896-3970","896-6567","AUREA RODRIGUEZ ROMAN","RURAL","SI","SUPERIOR","12-Oct","12-Oct","908",,,,,,,,,,,,,,,,"118",,"256","282","252",,"73.96","3.40","22.64","25.66","48.30","35.74","10.27","53.99","17.87","17.87","76.17","7.03","16.80","23.83","52.34","57"
"810","20941","PAULA MOJICA","CAGUAS","GURABO","CAGUAS II","CALLE ROBLE, URB. VILLA TURABO","CAGUAS","PR","7264952","(18.22055, -66.04353)","743-2498","743-2498","WANDA I VILA PEREZ","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","148",,,,"3",,"16","23","26","16","23","25",,"16",,,,,,,,,"65.79","1.32","32.89","35.53","30.26","57.89","3.95","38.16","36.84","21.05","38.16","25","36.84","14.47","23.68","82.73"
"811","11080","PEDRO AMADOR","ARECIBO","CAMUY","CAMUY","CARR 485 KM 2 HM 2 SECT BAJURA BO YAGUADA","CAMUY","PR","00627-0000","(18.48358, -66.88499)","898-1337","898-1337","NORMA NATAL","RURAL","SI","ELEMENTAL","K - 6","K - 6","127",,,,,,"30","21","20","20","20","16",,,,,,,,,,,"67.14","1.43","31.43","28.57","38.57","78.57","1.43","20","44.29","34.29","90","1.43","8.57","40","50","84.21"
"812","30643","PEDRO BOSCH","HUMACAO","LAS PIEDRAS","JUNCOS","CARR 935 KM 2 BO CEIBA NORTE","JUNCOS","PR","00777-0000","(18.21698, -65.89179)","734-4346; 733-6455","734-1275","EVELYN DAVILA SIERRA","RURAL","SI","ELEMENTAL","K - 6","K - 6","271",,,,,,"27","24","33","44","51","23","41",,"28",,,,,,,,"42.54","18.23","39.23","25.41","17.13","31.11","14.44","54.44","17.78","13.33","22.91","29.05","48.04","15.08","7.82","83.59"
"813","66357","PEDRO C TIMOTHEE ANEXO","SAN JUAN","SAN JUAN I","SAN JUAN II","CALLE 16 NO ESQ CALLE 9 NO","SAN JUAN","PR","9200000","(18.4155, -66.09346)","783-3966","277-9194","NELIDA TORRES MALAVE","URBANA","SI","TODOS LOS NIVELES","EEE - EES","EEE - EES","103",,,,,,,,,,,,,"1",,,,,,,,"102","43.48","56.52","0","4.35","39.13","100","0","0","17.39","82.61","17.39","82.61","0","0","17.39","73.21"
"814","61481","PEDRO CARLOS TIMOTHEE","SAN JUAN","SAN JUAN I","SAN JUAN II","CALLE 5 NE PUERTO NUEVO","SAN JUAN","PR","00927-0094","(18.41638, -66.08736)","782-1280","774-1511","WANDA GIL DE LAMADRID","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 5, EEE","288",,,,,,"49","52","50","44","50","38",,"5",,,,,,,,,"71.43","2.86","25.71","34.29","37.14","77.94","0","22.06","32.35","45.59","55.07","13.04","31.88","34.78","20.29","80.51"
"815","58172","PEDRO COLON SANTIAGO","PONCE","SANTA ISABEL","JUANA DIAZ","CARR 14 KM 11 BO JACAGUAS","JUANA DIAZ","PR","7950000","(18.05349, -66.52275)","837-1016","260-6468","MAYRA E. RODRIGUEZ RIVERA","RURAL","SI","SEGUNDA UNIDAD","K - 9","K - 9","271",,,,,,"24","13","25","33","23","29","40","15","38","31",,,,,,,"45.85","9.27","44.88","27.32","18.54","29.76","9.76","60.49","20","9.76","30.24","23.41","46.34","19.51","10.73","81.75"
"816","33233","PEDRO FALU ORELLANO","HUMACAO","CANOVANAS","RIO GRANDE","CALLE PIMENTEL SECTOR LAS FLORES","RIO GRANDE","PR","7450000","(18.37933, -65.83181)","887-2778","887-8056","HECTOR SANTIAGO","URBANA","SI","SUPERIOR","12-Oct","12-Oct","791",,,,,,,,,,,,,,,,"223",,"182","217","165","4","28.86","14.43","56.72","19.90","8.96","0.50","35.82","63.68","0","0.50","30.50","29.50","40","18","12.50","77.03"
"820","53058","PEDRO MELENDEZ SANTIAGO","PONCE","SANTA ISABEL","SANTA ISABEL","CALLE LIBERTAD BO PLAYITA CORTADA","SANTA ISABEL","PR","00757-0000","(17.9842, -66.43702)","845-3565","845-3565","HECTOR A. CARDONA RIVERA","RURAL","SI","SEGUNDA UNIDAD","K - 9 , EEI","K - 9 , EEI","422",,,,,,"38","47","42","44","52","40","49",,"54","49",,"7",,,,,"59.86","4.50","35.64","26.64","33.22","38.75","11.07","50.17","24.57","14.19","40.14","16.61","43.25","23.88","16.26","74.75"
"821","20669","PEDRO MILLAN RIVERA","CAGUAS","GURABO","CAGUAS I","Y 6 CALLE 7 URB RES BAIROA","CAGUAS","PR","00726-4956","(18.25727, -66.04055)","744-4777","745-3125","MYRNA MARTINEZ ACEVEDO","URBANA","SI","ELEMENTAL","K - 6","K - 6","389",,,,,,"33","42","49","54","59","71","81",,,,,,,,,,"57.30","10.86","31.84","28.46","28.84","49.44","13.48","37.08","28.84","20.60","49.06","13.48","37.45","26.59","22.47","67.53"
"822","60418","PEDRO MOCZO BANIET","SAN JUAN","CAROLINA","CAROLINA II","APARTADO 3114 VALLE","CAROLINA","PR","9840000","(18.40196, -65.98987)","769-2612","257-6390","NORMA I DE JESUS","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","404",,,,,,"38","64","68","55","62","64",,"53",,,,,,,,,"26.94","22.28","50.78","21.76","5.18","30.73","23.96","45.31","23.96","6.77","33.85","15.10","51.04","25.52","8.33","92.62"
"823","40980","PEDRO NELSON COLBERG","MAYAGUEZ","CABO ROJO","CABO ROJO",,,,,,,,,,"SI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.72"
"824","73650","PEDRO P CASABLANCA","BAYAMON","BAYAMON","BAYAMON I","URB JARDINES DE CAPARRA CALLE 21 #200","BAYAMON","PR","9596357","(18.39477, -66.12655)","782-1562","782-5518","ANA M MENDEZ","URBANA","SI","SECUNDARIO","7 - 12 , EEI, EES","7 - 12 , EEI, EES","252",,,,,,,,,,,,"23",,"35","32","45",,"28","24","23","42","6.06","42.42","51.52","6.06","0","3.03","54.55","42.42","0","3.03","15.63","71.88","12.50","15.63","0","90.87"
"827","25932","PEPITA ARENAS","CAGUAS","GURABO","CAGUAS I","URB. VALLE TOLIMA CALLE MILAGROS CARRILLO, BLQ. Q","CAGUAS","PR","7260000","(18.24005, -66.04732)","746-4262","745-3120","LEIGH MILLAN","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","215",,,,"6",,"23","23","23","37","35","36",,"32",,,,,,,,,"49.62","11.45","38.93","33.59","16.03","53.08","5.38","41.54","26.15","26.92","26.92","21.54","51.54","18.46","8.46","71.84"
"828","21063","PEPITA GARRIGA","CAGUAS","GURABO","CAGUAS I","CALLE ESMERALDA #1 ESQ CORAL","CAGUAS","PR","7260000","(18.24623, -66.03261)","743-3633","744-0575","JOSEFA RAMOS GARCIA","URBANA","SI","ELEMENTAL","K - 6","K - 6","279",,,,,,"45","40","45","50","46","53",,,,,,,,,,,"80.69","0.69","18.62","22.07","58.62","84.14","1.38","14.48","14.48","69.66","77.93","0.69","21.38","27.59","50.34","79.71"
"831","17350","PETRA CORRETJER DE O'NEILL","ARECIBO","MANATI","MANATI","CARR 670 KM 2 HM 7","MANATI","PR","00674-0000","(18.42493, -66.46694)","854-6601","884-7282","SANTOS SERRANO","URBANA","SI","SUPERIOR","12-Oct","12-Oct","604",,,,,,,,,,,,,,,,,,"229","191","175","9","42.39","4.89","52.72","27.72","14.67","30.43","16.85","52.72","17.93","12.50","57.61","14.13","28.26","32.61","25","66.67"
"832","34884","PETRA MERCADO BOUGART","HUMACAO","LAS PIEDRAS","HUMACAO","CARR 906 AVE TEJAS FINAL","HUMACAO","PR","00791-9141","(18.14719, -65.84094)","852-7780 - 852-2880","852-7780","GERARDO GONZALEZ","RURAL","SI","SUPERIOR","12-Oct","12-Sep","794",,,,,,,,,,,,,,,,"199",,"213","198","184",,"43.85","14.97","41.18","25.67","18.18","8.06","23.66","68.28","7.53","0.54","49.20","21.93","28.88","20.86","28.34","56.25"
"833","66480","PETRA ROMAN VIGO","SAN JUAN","CAROLINA","CAROLINA I","CARR. 887, KM. 3.5 BO SAN ANTON","CAROLINA","PR","00984-0000","(18.38, -65.99807)","769-3255","757-6625","ALBA RAQUEL FALERO LA SANTA","URBANA","SI","INTERMEDIO","7 - 9 , EEI","8-Jun","337",,,,,,,,,,,,"80",,"59","56",,"142",,,,,"24.84","23.60","51.55","15.53","9.32","4.38","41.25","54.38","3.75","0.63","16.77","37.27","45.96","8.70","8.07","90"
"834","60913","PETRA ZENON DE FABERY","SAN JUAN","GUAYNABO","TRUJILLO ALTO","CARR 181 KM 1 HM 8 BO LAS CUEVAS","TRUJILLO ALTO","PR","00978-0000","(18.36882, -66.01117)","760-0685","748-3645","MARIA DE LOS A RIVERA OFARRELL","RURAL","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","563",,,,,,,,,,,,,,,,"68",,"138","160","184","13","38.62","12.41","48.97","28.28","10.34","0.69","29.66","69.66","0.69","0","39.31","30.34","30.34","21.38","17.93","76.78"
"835","20404","PETROAMERICA PAGAN","CAGUAS","BARRANQUITAS","BARRANQUITAS","CALLE MUNOZ RIVERA #14","BARRANQUITAS","PR","00794-0000","(18.18624, -66.30603)","857-1888","857-6050","LUIS A. SANDOVAL COLON","URBANA","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","345",,,"16",,,"35","33","37","28","30","33","51","21","22","39",,,,,,,"98.70","0.43","0.87","3.46","95.24","90.87","0","9.13","7.39","83.48","96.96","0.87","2.17","3.04","93.91","80.69"
"837","32367","PLAYA GRANDE","HUMACAO","FAJARDO","VIEQUES","CARR. ESTATAL 993 KM1 HM 3","VIEQUES","PR","00765-0000","(18.14139, -65.4513)","741-2766","741-0541","DRA DIANA DE L MERCADO CORTES","RURAL","SI","ELEMENTAL","PK - 6","PK - 6","201",,,,,"40","24","24","19","20","42","32",,,,,,,,,,,"22.83","23.91","53.26","17.39","5.43","25","7.61","67.39","20.65","4.35","10.87","36.96","52.17","8.70","2.17","84.97"
